# cen dN/deta(ch)  v2{2} v2{2}_err
0.5 5.65332e+01 6.14736e-02 3.43976e-03
1.5 4.51290e+01 5.81185e-02 2.88981e-03
2.5 4.11076e+01 5.72834e-02 3.05848e-03
3.5 3.82459e+01 5.49981e-02 3.00897e-03
4.5 3.62920e+01 6.12722e-02 2.97534e-03
7.5 3.21868e+01 5.86470e-02 1.39206e-03
15 2.60847e+01 5.49694e-02 9.67314e-04
25 2.09167e+01 5.21001e-02 8.72988e-04
35 1.69959e+01 4.91782e-02 8.63343e-04
45 1.38249e+01 4.82513e-02 8.49676e-04
55 1.10055e+01 4.54898e-02 7.90067e-04
65 8.23262e+00 3.97010e-02 6.66291e-04
75 5.53490e+00 3.84152e-02 6.69128e-04
85 3.23560e+00 3.67836e-02 7.29641e-04
95 1.23039e+00 4.26892e-02 9.36745e-04
