# cen dN/deta(ch)  v2{2} v2{2}_err
0.5 5.65332e+01 1.17601e-01 6.78976e-03
1.5 4.51290e+01 1.15819e-01 6.22426e-03
2.5 4.11076e+01 1.15660e-01 6.39725e-03
3.5 3.82459e+01 1.12360e-01 6.27470e-03
4.5 3.62920e+01 1.27203e-01 6.31611e-03
7.5 3.21868e+01 1.22043e-01 2.92698e-03
15 2.60847e+01 1.16963e-01 2.03583e-03
25 2.09167e+01 1.12693e-01 1.89326e-03
35 1.69959e+01 1.08143e-01 1.89363e-03
45 1.38249e+01 1.08517e-01 1.84359e-03
55 1.10055e+01 1.03266e-01 1.74386e-03
65 8.23262e+00 9.39724e-02 1.56718e-03
75 5.53490e+00 9.52020e-02 1.60825e-03
85 3.23560e+00 9.38609e-02 1.61978e-03
95 1.23039e+00 1.14933e-01 2.24861e-03
